,Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,make,Sex_of_Driver,Skidding_and_Overturning,X1st_Point_of_Impact,Year_x
871,200501CP00060,,,,,,,,
872,200501CP00061,36 - 45,3.0,Urban area,BMW,Male,,Offside,2005.0
873,200501CP00061,46 - 55,1.0,Urban area,VOLVO,Male,,Offside,2005.0
874,200501CP00062,56 - 65,6.0,Small town,MAN,Male,,Nearside,2005.0
875,200501CP00063,46 - 55,3.0,Urban area,DENNIS,Male,,Did not impact,2005.0
876,200501CP00064,,,,,,,,
877,200501CP00065,Data missing or out of range,2.0,Data missing or out of range,HONDA,Male,Skidded,Front,2005.0
878,200501CP00066,,,,,,,,
879,200501CP00067,36 - 45,2.0,Urban area,VOLVO,Male,,Did not impact,2005.0
880,200501CP00068,,,,,,,,
881,200501CP00069,,,,,,,,
882,200501CP00070,,,,,,,,
883,200501CP00071,,,,,,,,
884,200501CP00072,56 - 65,7.0,Urban area,DENNIS,Male,,Front,2005.0
885,200501CP00073,Data missing or out of range,3.0,Data missing or out of range,FORD,Not known,,Nearside,2005.0
886,200501CP00074,21 - 25,3.0,Urban area,SCANIA,Male,,Front,2005.0
887,200501CP00075,26 - 35,6.0,Data missing or out of range,KAWASAKI,Male,,Did not impact,2005.0
888,200501CP00076,,,,,,,,
889,200501CP00077,,,,,,,,
890,200501CP00078,46 - 55,5.0,Urban area,LONDON TAXIS INT,Male,,Did not impact,2005.0
891,200501CP00079,,,,,,,,
892,200501CP00080,26 - 35,4.0,Urban area,DAF TRUCKS,Male,,Front,2005.0
893,200501CP00080,36 - 45,3.0,Urban area,LONDON TAXIS INT,Male,,Back,2005.0
894,200501CP00081,26 - 35,4.0,Urban area,PIAGGIO,Male,Skidded,Offside,2005.0
895,200501CP00082,36 - 45,8.0,Urban area,TRIUMPH,Male,Skidded,Front,2005.0
896,200501CP00083,Data missing or out of range,2.0,Data missing or out of range,MAN,Male,,Nearside,2005.0
897,200501CP00084,Data missing or out of range,2.0,Data missing or out of range,DENNIS,Male,,Nearside,2005.0
898,200501CP00085,36 - 45,,Urban area,BUELL,Male,,Front,2005.0
899,200501CP00086,,,,,,,,
900,200501CP00087,,,,,,,,
901,200501CP00088,56 - 65,5.0,Data missing or out of range,VOLVO,Male,,Nearside,2005.0
902,200501CP00089,,,,,,,,
903,200501CP00090,,,,,,,,
904,200501CP00091,,,,,,,,
905,200501CP00092,36 - 45,6.0,Urban area,SUZUKI,Male,,Front,2005.0
906,200501CP00093,,,,,,,,
907,200501CP00095,,,,,,,,
908,200501CP00096,36 - 45,,Urban area,LONDON TAXIS INT,Male,,Back,2005.0
909,200501CP00097,36 - 45,5.0,Urban area,TRIUMPH,Male,,Front,2005.0
910,200501CP00098,36 - 45,3.0,Urban area,TOYOTA,Male,,Back,2005.0
911,200501CP00099,,,,,,,,
912,200501CP00100,,,,,,,,
913,200501CP00101,36 - 45,5.0,Urban area,DENNIS,Male,,Did not impact,2005.0
914,200501CP00102,,,,,,,,
915,200501CP00103,36 - 45,5.0,Urban area,VOLVO,Male,,Did not impact,2005.0
916,200501CP00104,,,,,,,,
917,200501CP00105,26 - 35,,Urban area,FIAT,Male,,Offside,2005.0
918,200501CP00106,46 - 55,3.0,Urban area,DENNIS,Male,,Front,2005.0
919,200501CP00107,,,,,,,,
920,200501CP00108,,,,,,,,
921,200501CP00109,,,,,,,,
922,200501CP00111,36 - 45,1.0,Urban area,FORD,Male,,Back,2005.0
923,200501CP00112,16 - 20,,Urban area,CITROEN,Male,,Offside,2005.0
924,200501CP00112,36 - 45,4.0,Urban area,LONDON TAXIS INT,Male,Skidded,Nearside,2005.0
925,200501CP00113,,,,,,,,
926,200501CP00114,36 - 45,2.0,Data missing or out of range,AUDI,Female,,Front,2005.0
927,200501CP00115,,,,,,,,
928,200501CP00116,21 - 25,2.0,Urban area,YAMAHA,Male,,Nearside,2005.0
929,200501CP00117,21 - 25,1.0,Urban area,TAISHAN,Male,,Did not impact,2005.0
930,200501CP00118,36 - 45,,Data missing or out of range,VAUXHALL,Male,,Nearside,2005.0
931,200501CP00119,,,,,,,,
932,200501CP00120,Data missing or out of range,1.0,Urban area,FORD,Male,,Front,2005.0
933,200501CP00121,,,,,,,,
934,200501CP00122,26 - 35,7.0,Urban area,HONDA,Male,,Front,2005.0
935,200501CP00123,36 - 45,10.0,Urban area,BMW,Male,,Front,2005.0
936,200501CP00124,36 - 45,2.0,Urban area,KIA,Male,,Nearside,2005.0
937,200501CP00125,,,,,,,,
938,200501CP00126,,,,,,,,
939,200501CP00127,36 - 45,4.0,Urban area,LONDON TAXIS INT,Male,,Offside,2005.0
940,200501CP00128,36 - 45,5.0,Urban area,LONDON TAXIS INT,Male,,Back,2005.0
941,200501CP00129,,,,,,,,
942,200501CP00130,,,,,,,,
943,200501CP00131,36 - 45,3.0,Urban area,DENNIS,Male,,Front,2005.0
944,200501CP00132,26 - 35,5.0,Urban area,VOLVO,Male,,Offside,2005.0
945,200501CP00133,36 - 45,2.0,Rural,VOLVO,Male,,Back,2005.0
946,200501CP00134,,,,,,,,
947,200501CP00135,66 - 75,,Urban area,PEUGEOT,Male,,Back,2005.0
948,200501CP00136,26 - 35,5.0,Urban area,FORD,Male,,Back,2005.0
949,200501CP00137,46 - 55,3.0,Urban area,VOLVO,Male,,Did not impact,2005.0
950,200501CP00138,46 - 55,5.0,Urban area,VOLKSWAGEN,Male,,Offside,2005.0
951,200501CP00139,56 - 65,2.0,Urban area,RENAULT,Male,,Front,2005.0
952,200501CP00140,56 - 65,4.0,Urban area,HONDA,Male,,Nearside,2005.0
953,200501CP00141,26 - 35,4.0,Urban area,DENNIS,Male,,Nearside,2005.0
954,200501CP00142,,,,,,,,
955,200501CP00143,36 - 45,6.0,Urban area,VOLKSWAGEN,Male,,Offside,2005.0
956,200501CP00143,36 - 45,3.0,Urban area,FORD,Male,,Front,2005.0
957,200501CP00144,,,,,,,,
958,200501CP00145,,,,,,,,
959,200501CP00146,26 - 35,7.0,Data missing or out of range,LONDON TAXIS INT,Male,,Nearside,2005.0
960,200501CP00147,36 - 45,1.0,Urban area,TOYOTA,Male,,Back,2005.0
961,200501CP00148,26 - 35,,Urban area,IVECO,Male,,Front,2005.0
962,200501CP00149,36 - 45,,Urban area,VOLVO,Female,,Did not impact,2005.0
963,200501CP00150,,,,,,,,
964,200501CP00151,,,,,,,,
965,200501CP00152,46 - 55,1.0,Urban area,KIA,Male,,Front,2005.0
966,200501CP00153,26 - 35,,Urban area,TOYOTA,Male,,Nearside,2005.0
967,200501CP00154,26 - 35,2.0,Urban area,VOLVO,Male,,Front,2005.0
968,200501CP00154,26 - 35,2.0,Urban area,LONDON TAXIS INT,Male,,Did not impact,2005.0
969,200501CP00155,36 - 45,27.0,Urban area,YAMAHA,Male,,Front,2005.0
970,200501CP00156,,,,,,,,
971,200501CP00157,21 - 25,5.0,Urban area,VOLVO,Male,,Did not impact,2005.0
972,200501CP00158,36 - 45,1.0,Urban area,LONDON TAXIS INT,Male,,Nearside,2005.0
973,200501CP00159,,,,,,,,
974,200501CP00160,,,,,,,,
975,200501CP00161,Data missing or out of range,18.0,Data missing or out of range,VOLVO,Male,,Did not impact,2005.0
976,200501CP00162,,,,,,,,
977,200501CP00163,,,,,,,,
978,200501CP00164,,,,,,,,
979,200501CP00165,36 - 45,2.0,Urban area,KAWASAKI,Male,Skidded,Did not impact,2005.0
980,200501CP00166,,,,,,,,
981,200501CP00167,36 - 45,13.0,Urban area,HONDA,Male,,Front,2005.0
982,200501CP00168,,,,,,,,
983,200501CP00169,,,,,,,,
984,200501CP00170,,,,,,,,
985,200501CP00171,26 - 35,8.0,Rural,HONDA,Male,Skidded,Did not impact,2005.0
986,200501CP00171,Data missing or out of range,7.0,Data missing or out of range,LONDON TAXIS INT,Male,,Did not impact,2005.0
987,200501CP00172,36 - 45,,Urban area,SCANIA,Male,,Front,2005.0
988,200501CP00173,26 - 35,9.0,Urban area,HONDA,Female,,Nearside,2005.0
989,200501CP00174,66 - 75,3.0,Urban area,SCANIA,Male,,Nearside,2005.0
990,200501CP00175,21 - 25,5.0,Urban area,HONDA,Male,,Front,2005.0
991,200501CP00176,,,,,,,,
992,200501CP00177,,,,,,,,
993,200501CP00178,36 - 45,4.0,Urban area,DAF TRUCKS,Male,,Front,2005.0
994,200501CP00179,,,,,,,,
995,200501CP00180,,,,,,,,
996,200501CP00181,,,,,,,,
997,200501CP00182,Data missing or out of range,3.0,Data missing or out of range,VOLKSWAGEN,Not known,,Front,2005.0
998,200501CP00183,36 - 45,,Urban area,ALEXANDER DENNIS,Male,,Nearside,2005.0
999,200501CP00184,26 - 35,,Urban area,VOLKSWAGEN,Male,,Did not impact,2005.0
1000,200501CP00185,36 - 45,7.0,Urban area,LONDON TAXIS INT,Male,,Nearside,2005.0
1001,200501CP00186,,,,,,,,
1002,200501CP00187,Data missing or out of range,1.0,Data missing or out of range,SAAB,Female,,Offside,2005.0
1003,200501CP00188,36 - 45,3.0,Urban area,MINI,Male,,Nearside,2005.0
1004,200501CP00189,36 - 45,2.0,Urban area,DENNIS,Male,,Offside,2005.0
1005,200501CP00190,26 - 35,1.0,Data missing or out of range,TRANSBUS INT,Male,,Nearside,2005.0
1006,200501CP00191,36 - 45,,Data missing or out of range,MAN,Male,,Nearside,2005.0
1007,200501CP00192,46 - 55,1.0,Data missing or out of range,VAUXHALL,Male,,Offside,2005.0
1008,200501CP00193,,,,,,,,
1009,200501CP00194,Data missing or out of range,11.0,Data missing or out of range,TOYOTA,Male,,Nearside,2005.0
1010,200501CP00195,,,,,,,,
1011,200501CP00196,,,,,,,,
1012,200501CP00197,26 - 35,10.0,Data missing or out of range,KAWASAKI,Male,,Nearside,2005.0
1013,200501CP00198,26 - 35,4.0,Urban area,FORD,Male,,Front,2005.0
1014,200501CP00199,,,,,,,,
1015,200501CP00200,,,,,,,,
1016,200501CP00201,,,,,,,,
1017,200501CP00202,,,,,,,,
1018,200501CP00203,46 - 55,6.0,Urban area,LONDON TAXIS INT,Male,,Nearside,2005.0
1019,200501CP00204,26 - 35,4.0,Urban area,DENNIS,Male,,Did not impact,2005.0
1020,200501CP00204,Data missing or out of range,11.0,Data missing or out of range,CITROEN,Not known,,Did not impact,2005.0
1021,200501CP00205,26 - 35,1.0,Data missing or out of range,SCANIA,Male,,Nearside,2005.0
1022,200501CP00206,26 - 35,1.0,Urban area,FORD,Male,,Front,2005.0
1023,200501CP00207,26 - 35,1.0,Urban area,MERCEDES,Male,,Front,2005.0
1024,200501CP00208,,,,,,,,
1025,200501CP00209,,,,,,,,
1026,200501CP00210,36 - 45,1.0,Urban area,BMW,Male,,Offside,2005.0
1027,200501CP00211,36 - 45,8.0,Urban area,PEUGEOT,Male,,Front,2005.0
1028,200501CP00212,46 - 55,5.0,Urban area,LONDON TAXIS INT,Male,,Nearside,2005.0
1029,200501CP00213,,,,,,,,
1030,200501CP00214,21 - 25,,Urban area,DAEWOO,Male,,Offside,2005.0
1031,200501CP00215,,,,,,,,
1032,200501CP00216,26 - 35,7.0,Urban area,KAWASAKI,Male,,Front,2005.0
1033,200501CP00217,26 - 35,7.0,Urban area,AUDI,Male,,Offside,2005.0
1034,200501CP00218,,,,,,,,
1035,200501CP00219,,,,,,,,
1036,200501CP00220,56 - 65,1.0,Urban area,TRANSBUS INT,Male,,Front,2005.0
1037,200501CP00220,46 - 55,2.0,Data missing or out of range,MERCEDES,Male,,Back,2005.0
1038,200501CP00221,36 - 45,21.0,Urban area,MCW,Male,,Offside,2005.0
1039,200501CP00221,46 - 55,2.0,Urban area,IRIS.BUS,Male,,Nearside,2005.0
1040,200501CP00222,,,,,,,,
1041,200501CP00223,,,,,,,,
1042,200501CP00224,46 - 55,1.0,Urban area,VOLKSWAGEN,Male,,Front,2005.0
1043,200501CP00225,,,,,,,,
1044,200501CP00226,26 - 35,,Data missing or out of range,PIAGGIO,Male,Skidded,Front,2005.0
1045,200501CP00227,,,,,,,,
1046,200501CP00228,56 - 65,4.0,Data missing or out of range,VOLVO,Male,,Back,2005.0
1047,200501CP00228,26 - 35,4.0,Urban area,DAF TRUCKS,Male,,Front,2005.0
1048,200501CP00229,,,,,,,,
1049,200501CP00230,36 - 45,1.0,Urban area,LONDON TAXIS INT,Male,,Nearside,2005.0
1050,200501CP00231,26 - 35,2.0,Data missing or out of range,FORD,Male,,Front,2005.0
1051,200501CP00232,36 - 45,1.0,Urban area,TRANSBUS INT,Male,Skidded,Did not impact,2005.0
1052,200501CP00233,46 - 55,,Urban area,FORD,Male,,Front,2005.0
1053,200501CP00234,46 - 55,3.0,Data missing or out of range,LONDON TAXIS INT,Male,,Back,2005.0
1054,200501CP00235,36 - 45,,Small town,SUZUKI,Male,Skidded and overturned,Nearside,2005.0
1055,200501CP00236,Data missing or out of range,8.0,Urban area,FORD,Male,,Back,2005.0
1056,200501CP00237,,,,,,,,
1057,200501CP00238,,,,,,,,
1058,200501CP00239,36 - 45,6.0,Urban area,LONDON TAXIS INT,Male,,Did not impact,2005.0
1059,200501CP00240,,,,,,,,
1060,200501CP00241,,,,,,,,
1061,200501CP00242,46 - 55,2.0,Urban area,DENNIS,Female,,Front,2005.0
1062,200501CP00243,,,,,,,,
1063,200501CP00244,,,,,,,,
1064,200501CP00245,,,,,,,,
1065,200501CP00246,,,,,,,,
1066,200501CP00247,,,,,,,,
1067,200501CP00248,,,,,,,,
1068,200501CP00249,,,,,,,,
1069,200501CP00250,,,,,,,,
1070,200501CP00251,,,,,,,,
1071,200501CP00252,36 - 45,2.0,Urban area,DAF TRUCKS,Male,,Front,2005.0
1072,200501CP00252,21 - 25,3.0,Urban area,MERCEDES,Male,,Offside,2005.0
1073,200501CP00253,Data missing or out of range,8.0,Data missing or out of range,FIAT,Female,,Back,2005.0
1074,200501CP00254,,,,,,,,
1075,200501CP00255,,,,,,,,
1076,200501CP00256,,,,,,,,
1077,200501CP00257,21 - 25,13.0,Urban area,RENAULT,Male,Skidded,Front,2005.0
1078,200501CP00258,,,,,,,,
1079,200501CP00259,Data missing or out of range,6.0,Urban area,LONDON TAXIS INT,Male,,Back,2005.0
1080,200501CP00260,,,,,,,,
1081,200501CP00261,21 - 25,1.0,Urban area,PEUGEOT,Male,,Front,2005.0
1082,200501CP00262,56 - 65,4.0,Urban area,DENNIS,Male,,Did not impact,2005.0
1083,200501CP00263,21 - 25,11.0,Urban area,CITROEN,Male,,Nearside,2005.0
1084,200501CP00264,,,,,,,,
1085,200501CP00265,,,,,,,,
1086,200501CP00266,46 - 55,2.0,Urban area,LONDON TAXIS INT,Male,,Nearside,2005.0
1087,200501CP00266,26 - 35,,Urban area,HONDA,Male,,Offside,2005.0
1088,200501CP00267,,,,,,,,
1089,200501CP00268,,,,,,,,
1090,200501CP00269,26 - 35,3.0,Data missing or out of range,RENAULT,Male,,Front,2005.0
1091,200501CP00270,,,,,,,,
1092,200501CP00271,,,,,,,,
1093,200501CP00272,,,,,,,,
1094,200501CP00273,36 - 45,2.0,Urban area,MERCEDES,Male,,Nearside,2005.0
1095,200501CP00274,,,,,,,,
1096,200501CP00275,26 - 35,,Urban area,VOLKSWAGEN,Male,,Front,2005.0
1097,200501CP00276,26 - 35,,Urban area,VAUXHALL,Male,,Offside,2005.0
1098,200501CP00277,,,,,,,,
1099,200501CP00278,21 - 25,,Urban area,HONDA,Male,,Front,2005.0
1100,200501CP00279,,,,,,,,
1101,200501CP00280,,,,,,,,
1102,200501CP00281,26 - 35,3.0,Urban area,FORD,Male,,Offside,2005.0
1103,200501CP00282,,,,,,,,
1104,200501CP00283,Data missing or out of range,,Data missing or out of range,FORD,Male,,Front,2005.0
1105,200501CP00284,46 - 55,1.0,Data missing or out of range,LONDON TAXIS INT,Male,,Nearside,2005.0
1106,200501CP00285,,,,,,,,
1107,200501CP00286,,,,,,,,
1108,200501CP00287,,,,,,,,
1109,200501CP00288,,,,,,,,
1110,200501CP00289,,,,,,,,
1111,200501CP00290,26 - 35,1.0,Urban area,PIAGGIO,Male,,Front,2005.0
1112,200501CP00291,Data missing or out of range,,Data missing or out of range,MERCEDES,Male,,Back,2005.0
1113,200501CP00292,,,,,,,,
1114,200501CP00293,26 - 35,,Urban area,BMW,Female,,Back,2005.0
1115,200501CP00294,,,,,,,,
1116,200501CP00295,56 - 65,2.0,Urban area,KAWASAKI,Male,,Offside,2005.0
1117,200501CP00296,36 - 45,2.0,Urban area,PIAGGIO,Male,,Nearside,2005.0
1118,200501CP00296,36 - 45,1.0,Data missing or out of range,MERCEDES,Male,,Offside,2005.0
1119,200501CP00297,36 - 45,6.0,Urban area,DENNIS,Female,,Nearside,2005.0
1120,200501CP00298,,,,,,,,
1121,200501CP00299,36 - 45,6.0,Urban area,LONDON TAXIS INT,Male,,Offside,2005.0
1122,200501CP00300,,,,,,,,
1123,200501CP00301,,,,,,,,
1124,200501CP00302,46 - 55,2.0,Urban area,DENNIS,Male,,Did not impact,2005.0
1125,200501CP00303,,,,,,,,
1126,200501CP00304,36 - 45,8.0,Urban area,TOYOTA,Male,,Front,2005.0
1127,200501CP00305,Data missing or out of range,4.0,Urban area,VAUXHALL,Male,,Offside,2005.0
1128,200501CP00305,26 - 35,7.0,Urban area,BMW,Male,,Front,2005.0
1129,200501CP00306,36 - 45,5.0,Urban area,RENAULT,Male,,Offside,2005.0
1130,200501CP00307,Data missing or out of range,1.0,Data missing or out of range,VOLKSWAGEN,Male,,Nearside,2005.0
1131,200501CP09007,Data missing or out of range,3.0,Data missing or out of range,SCANIA,Male,,Offside,2005.0
1132,200501CW10002,36 - 45,2.0,Data missing or out of range,MERCEDES,Male,,Front,2005.0
1133,200501CW10003,,,,,,,,
1134,200501CW10008,,,,,,,,
1135,200501CW10013,,,,,,,,
1136,200501CW10014,,,,,,,,
1137,200501CW10015,,,,,,,,
1138,200501CW10016,36 - 45,3.0,Urban area,LONDON TAXIS INT,Male,,Front,2005.0
1139,200501CW10017,26 - 35,3.0,Urban area,DENNIS,Male,,Front,2005.0
1140,200501CW10018,,,,,,,,
1141,200501CW10019,,,,,,,,
1142,200501CW10020,,,,,,,,
1143,200501CW10022,26 - 35,7.0,Urban area,MAN,Male,,Back,2005.0
1144,200501CW10023,,,,,,,,
1145,200501CW10024,,,,,,,,
1146,200501CW10025,36 - 45,6.0,Data missing or out of range,LONDON TAXIS INT,Male,,Offside,2005.0
1147,200501CW10026,,,,,,,,
1148,200501CW10028,56 - 65,2.0,Data missing or out of range,DENNIS,Male,,Did not impact,2005.0
1149,200501CW10029,46 - 55,5.0,Urban area,LEYLAND,Male,,Front,2005.0
1150,200501CW10030,36 - 45,9.0,Urban area,TOYOTA,Male,,Front,2005.0
1151,200501CW10031,36 - 45,12.0,Urban area,NISSAN,Male,,Front,2005.0
1152,200501CW10032,,,,,,,,
1153,200501CW10033,,,,,,,,
1154,200501CW10034,36 - 45,2.0,Urban area,HONDA,Male,Skidded,Front,2005.0
1155,200501CW10036,,,,,,,,
1156,200501CW10037,,,,,,,,
1157,200501CW10038,,,,,,,,
1158,200501CW10039,26 - 35,5.0,Data missing or out of range,HONDA,Male,Skidded,Did not impact,2005.0
1159,200501CW10039,56 - 65,4.0,Rural,BMW,Female,,Did not impact,2005.0
1160,200501CW10040,,,,,,,,
1161,200501CW10041,66 - 75,2.0,Urban area,DENNIS,Male,,Did not impact,2005.0
1162,200501CW10042,36 - 45,4.0,Urban area,FORD,Male,Skidded,Nearside,2005.0
1163,200501CW10043,,,,,,,,
1164,200501CW10044,,,,,,,,
1165,200501CW10045,26 - 35,2.0,Urban area,MERCEDES,Male,,Offside,2005.0
1166,200501CW10047,,,,,,,,
1167,200501CW10049,36 - 45,7.0,Urban area,VOLVO,Male,,Nearside,2005.0
1168,200501CW10050,,,,,,,,
1169,200501CW10052,,,,,,,,
1170,200501CW10054,,,,,,,,
1171,200501CW10055,26 - 35,1.0,Urban area,TOYOTA,Male,,Back,2005.0
1172,200501CW10056,26 - 35,5.0,Urban area,DENNIS,Male,,Did not impact,2005.0
1173,200501CW10057,,,,,,,,
1174,200501CW10058,,,,,,,,
1175,200501CW10061,,,,,,,,
1176,200501CW10062,Data missing or out of range,10.0,Data missing or out of range,ROVER,Male,,Front,2005.0
1177,200501CW10063,36 - 45,3.0,Urban area,MITSUBISHI,Male,,Front,2005.0
1178,200501CW10064,,,,,,,,
1179,200501CW10070,,,,,,,,
1180,200501CW10073,,,,,,,,
1181,200501CW10074,,,,,,,,
1182,200501CW10075,,,,,,,,
1183,200501CW10076,,,,,,,,
1184,200501CW10077,,,,,,,,
1185,200501CW10078,,,,,,,,
1186,200501CW10079,,,,,,,,
1187,200501CW10080,,,,,,,,
1188,200501CW10081,,,,,,,,
1189,200501CW10082,,,,,,,,
1190,200501CW10083,66 - 75,7.0,Data missing or out of range,LONDON TAXIS INT,Male,,Front,2005.0
1191,200501CW10084,36 - 45,5.0,Urban area,PEUGEOT,Female,,Offside,2005.0
1192,200501CW10085,36 - 45,12.0,Urban area,YAMAHA,Male,,Offside,2005.0
1193,200501CW10086,,,,,,,,
1194,200501CW10087,,,,,,,,
1195,200501CW10088,26 - 35,1.0,Data missing or out of range,PIAGGIO,Female,Skidded,Front,2005.0
1196,200501CW10088,26 - 35,7.0,Small town,VOLVO,Male,,Offside,2005.0
1197,200501CW10089,26 - 35,3.0,Urban area,MERCEDES,Male,,Front,2005.0
1198,200501CW10090,46 - 55,4.0,Data missing or out of range,SUZUKI,Male,,Front,2005.0
1199,200501CW10091,,,,,,,,
1200,200501CW10092,,,,,,,,
1201,200501CW10093,,,,,,,,
1202,200501CW10094,,,,,,,,
1203,200501CW10095,36 - 45,15.0,Data missing or out of range,TOYOTA,Male,,Offside,2005.0
1204,200501CW10102,,,,,,,,
1205,200501CW10103,,,,,,,,
1206,200501CW10104,,,,,,,,
1207,200501CW10106,,,,,,,,
1208,200501CW10107,16 - 20,14.0,Urban area,VOLKSWAGEN,Female,,Front,2005.0
1209,200501CW10108,46 - 55,7.0,Data missing or out of range,LONDON TAXIS INT,Male,,Offside,2005.0
1210,200501CW10109,46 - 55,3.0,Data missing or out of range,LONDON TAXIS INT,Male,,Front,2005.0
1211,200501CW10110,,,,,,,,
1212,200501CW10111,,,,,,,,
1213,200501CW10112,46 - 55,3.0,Urban area,LAND ROVER,Female,,Nearside,2005.0
1214,200501CW10113,,,,,,,,
1215,200501CW10114,26 - 35,4.0,Urban area,LEYLAND AEC,Male,,Did not impact,2005.0
1216,200501CW10116,26 - 35,4.0,Data missing or out of range,LEYLAND AEC,Male,,Did not impact,2005.0
1217,200501CW10118,,,,,,,,
1218,200501CW10119,,,,,,,,
1219,200501CW10120,16 - 20,3.0,Data missing or out of range,PIAGGIO,Male,,Did not impact,2005.0
1220,200501CW10121,36 - 45,4.0,Urban area,DAF TRUCKS,Male,,Did not impact,2005.0
1221,200501CW10122,Data missing or out of range,,Data missing or out of range,VAUXHALL,Male,,Front,2005.0
1222,200501CW10124,46 - 55,2.0,Data missing or out of range,IVECO-FORD,Male,,Front,2005.0
1223,200501CW10124,26 - 35,2.0,Urban area,RENAULT,Female,,Nearside,2005.0
1224,200501CW10125,46 - 55,23.0,Urban area,LEYLAND NATIONAL,Male,,Front,2005.0
1225,200501CW10126,36 - 45,13.0,Urban area,PROTON,Male,,Back,2005.0
1226,200501CW10127,26 - 35,4.0,Urban area,HONDA,Male,,Offside,2005.0
1227,200501CW10129,46 - 55,1.0,Urban area,LONDON TAXIS INT,Male,,Offside,2005.0
1228,200501CW10130,21 - 25,1.0,Urban area,TAIWAN GOLDEN BEE,Male,,Front,2005.0
1229,200501CW10131,,,,,,,,
1230,200501CW10132,36 - 45,5.0,Urban area,DENNIS,Male,,Did not impact,2005.0
1231,200501CW10135,,,,,,,,
1232,200501CW10136,36 - 45,2.0,Urban area,MERCEDES,Male,,Nearside,2005.0
1233,200501CW10137,36 - 45,4.0,Urban area,BMW,Male,,Front,2005.0
1234,200501CW10138,,,,,,,,
1235,200501CW10140,46 - 55,17.0,Urban area,VOLVO,Male,,Front,2005.0
1236,200501CW10141,36 - 45,11.0,Urban area,HONDA,Male,,Offside,2005.0
1237,200501CW10142,36 - 45,2.0,Urban area,DENNIS,Female,,Offside,2005.0
1238,200501CW10143,Data missing or out of range,3.0,Urban area,BMW,Female,,Nearside,2005.0
1239,200501CW10144,,,,,,,,
1240,200501CW10146,,,,,,,,
1241,200501CW10149,26 - 35,5.0,Urban area,PIAGGIO,Male,,Nearside,2005.0
1242,200501CW10150,,,,,,,,
1243,200501CW10160,46 - 55,3.0,Urban area,MERCEDES,Male,,Front,2005.0
1244,200501CW10177,,,,,,,,
1245,200501CW10182,,,,,,,,
1246,200501CW10183,26 - 35,5.0,Urban area,RENAULT,Male,,Front,2005.0
1247,200501CW10184,21 - 25,1.0,Data missing or out of range,MERCEDES,Male,,Front,2005.0
1248,200501CW10185,,,,,,,,
1249,200501CW10186,,,,,,,,
1250,200501CW10187,,,,,,,,
1251,200501CW10188,Over 75,6.0,Urban area,HONDA,Female,,Nearside,2005.0
1252,200501CW10189,36 - 45,1.0,Urban area,FIAT,Male,,Nearside,2005.0
1253,200501CW10189,Data missing or out of range,6.0,Data missing or out of range,MERCEDES,Male,,Offside,2005.0
1254,200501CW10190,,,,,,,,
1255,200501CW10192,26 - 35,,Urban area,PIAGGIO,Male,,Front,2005.0
1256,200501CW10194,,,,,,,,
1257,200501CW10195,,,,,,,,
1258,200501CW10196,,,,,,,,
1259,200501CW10197,,,,,,,,
1260,200501CW10198,46 - 55,7.0,Urban area,TRIUMPH,Male,Skidded,Front,2005.0
1261,200501CW10199,36 - 45,5.0,Urban area,DENNIS,Male,,Nearside,2005.0
1262,200501CW10200,,,,,,,,
1263,200501CW10201,Data missing or out of range,4.0,Urban area,HONDA,Male,,Did not impact,2005.0
1264,200501CW10202,21 - 25,4.0,Urban area,HONDA,Male,,Front,2005.0
1265,200501CW10203,,,,,,,,
1266,200501CW10204,21 - 25,1.0,Urban area,BMW,Female,,Front,2005.0
1267,200501CW10205,46 - 55,7.0,Urban area,LONDON TAXIS INT,Male,,Front,2005.0
1268,200501CW10206,36 - 45,4.0,Urban area,MERCEDES,Female,,Nearside,2005.0
1269,200501CW10207,26 - 35,3.0,Urban area,PIAGGIO,Male,,Offside,2005.0
1270,200501CW10208,,,,,,,,
1271,200501CW10209,,,,,,,,
1272,200501CW10214,21 - 25,5.0,Urban area,HONDA,Male,,Front,2005.0
1273,200501CW10214,36 - 45,,Urban area,MCW,Male,,Nearside,2005.0
1274,200501CW10216,,,,,,,,
1275,200501CW10217,26 - 35,10.0,Data missing or out of range,NISSAN,Male,,Front,2005.0
1276,200501CW10217,26 - 35,,Urban area,MCC,Male,,Front,2005.0
1277,200501CW10218,,,,,,,,
1278,200501CW10220,46 - 55,2.0,Urban area,VOLVO,Male,,Front,2005.0
1279,200501CW10221,21 - 25,4.0,Urban area,FORD,Male,,Front,2005.0
1280,200501CW10222,46 - 55,1.0,Urban area,VOLVO,Male,,Front,2005.0
1281,200501CW10223,46 - 55,1.0,Urban area,MERCEDES,Male,,Nearside,2005.0
1282,200501CW10225,46 - 55,5.0,Urban area,LONDON TAXIS INT,Male,,Nearside,2005.0
1283,200501CW10226,46 - 55,5.0,Data missing or out of range,DENNIS,Male,,Did not impact,2005.0
1284,200501CW10227,46 - 55,10.0,Urban area,FIAT,Female,,Offside,2005.0
1285,200501CW10228,,,,,,,,
1286,200501CW10229,26 - 35,,Data missing or out of range,VAUXHALL,Male,,Front,2005.0
1287,200501CW10230,36 - 45,3.0,Urban area,TRIUMPH,Male,,Nearside,2005.0
1288,200501CW10231,46 - 55,1.0,Urban area,PEUGEOT,Male,,Back,2005.0
